

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.018  000.018: --- NVIM STARTING ---
001.444  001.426: locale set
003.001  001.557: inits 1
003.033  000.032: window checked
003.426  000.393: parsing arguments
003.935  000.510: expanding arguments
004.132  000.196: inits 2
005.080  000.948: init highlight
006.533  000.324  000.324: sourcing /Users/fmccabe/.polka/config/nvim/rc/filetype.vim
015.360  003.640  003.640: sourcing /Users/fmccabe/.config/nvim/autoload/plug.vim
032.535  000.695  000.695: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-coffee-script/ftdetect/coffee.vim
033.025  000.235  000.235: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
034.267  000.328  000.328: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-jsx/ftdetect/javascript.vim
035.114  000.216  000.216: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-markdown/ftdetect/markdown.vim
036.696  000.221  000.221: sourcing /Users/fmccabe/.local/share/nvim/plugged/rspec.vim/ftdetect/rspec.vim
048.811  000.589  000.589: sourcing /Users/fmccabe/.local/share/nvim/plugged/neoterm/ftdetect/set_repl_cmd.vim
049.368  000.238  000.238: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-fugitive/ftdetect/fugitive.vim
049.842  000.203  000.203: sourcing /Users/fmccabe/.local/share/nvim/plugged/Dockerfile.vim/ftdetect/Dockerfile.vim
050.195  000.218  000.218: sourcing /Users/fmccabe/.local/share/nvim/plugged/Dockerfile.vim/ftdetect/docker-compose.vim
050.823  000.412  000.412: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-go/ftdetect/gofiletype.vim
051.535  000.405  000.405: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-ruby/ftdetect/ruby.vim
052.030  000.345  000.345: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-ruby/ftdetect/ruby_extra.vim
052.516  000.253  000.253: sourcing /Users/fmccabe/.local/share/nvim/plugged/rust.vim/ftdetect/rust.vim
052.904  000.220  000.220: sourcing /Users/fmccabe/.local/share/nvim/plugged/vim-elixir/ftdetect/elixir.vim
053.233  012.564  009.681: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/filetype.vim
054.114  000.290  000.290: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/ftplugin.vim
055.287  000.269  000.269: sourcing /usr/local/Cellar/neovim/0.3.1/share/nvim/runtime/indent.vim
